original sort,AssessID,Species,P1_label,Location,Region,depth_ft_colony_base,firstvisit_date,length,width,height,Surface Area (cm²),total_periods_visited,total_periods_diseased,treat_type,total_treatments,Resistance_April2021,Resistance2_April2021,%visits_diseased_total,%visits_diseased_May21-Mar22,%LiveTissueDifference_total,%LiveTissueDifference_Apr21-Mar22,date,time,process_time,disease,coresite_angle,core_location,core_heading,core_depth,Zoox_dominant,Zoox_background
35,LC-056,Ofav2,1656,ECA,1North,17,9/18/19,240,170,95,31259,41,1,Amox,2,3-High,SCTLD affected,2.40%,0.00%,0,0,5/28/21,13:22,8,A,Angle ,US,N,15,B,NA
28,LC-088,Ofav1,1688,ECA,3South,20,7/22/19,230,200,100,34601,42,1,Amox,1,2-Some,SCTLD affected,2.40%,0.00%,-5,0,6/21/21,12:25,5,A,Angle ,B,NE,17,B,D
16,LC-003,Ofav2,1703,ECA,1North,18,6/25/18,310,220,150,59946,55,5,Epox,12,2-Some,SCTLD affected,9.10%,0.00%,0,0,5/28/21,10:46,7,A,Angle ,MS,SW,17,B,NA
23,LC-024,Ofav1,1724,ECA,2Middle,22,9/11/18,300,210,160,59887,54,2,Amox,2,2-Some,SCTLD affected,3.70%,9.10%,-5,0,6/17/21,12:21,6,A,Flat,MS,N,22,B,NA
2,LC-041,Ofav2,1741,ECA,1North,18,6/25/18,250,230,130,47765,56,7,Both,8,1-Low,SCTLD affected,12.50%,18.20%,-5,-5,5/28/21,10:56,6,A,Angle ,MS,S,17,B,NA
31,LC-042,Ofav2,1742,ECA,1North,18,9/12/18,190,145,75,20451,53,2,Amox,2,3-High,SCTLD affected,3.80%,9.10%,-5,-5,5/28/21,11:06,6,A,Angle ,MS,SE,18,B,NA
32,LC-043,Ofav2,1743,ECA,1North,18,9/12/18,290,210,85,38718,53,2,Amox,2,3-High,SCTLD affected,3.80%,9.10%,0,0,5/28/21,11:14,7,A,Angle ,US,N,18,B,NA
33,LC-045,Ofav2,1745,ECA,1North,18,7/15/19,205,165,55,19921,52,3,Amox,6,3-High,SCTLD affected,5.80%,0.00%,-14,0,5/28/21,11:24,6,A,Angle ,US,E,18,B,NA
17,LC-048,Ofav2,1748,ECA,1North,18,9/12/18,240,205,75,30723,53,1,Both,1,2-Some,SCTLD affected,1.90%,0.00%,0,0,5/28/21,11:33,7,A,Angle ,US,S,17,B,NA
18,LC-049,Ofav2,1749,ECA,1North,18,9/13/18,340,215,100,48881,53,5,Both,11,2-Some,SCTLD affected,9.40%,0.00%,0,0,5/28/21,11:54,6,A,Angle ,T,NW,15,B,NA
